author_name,repo,commit_count,commit_sec_min,commit_sec_max,contribution_span_days,is_recent_contributor,tier
Aimee Barciauskas,NASA-IMPACT/veda-deploy,6,1747793094,1748104064,0,False,sponsored
Saadiq Mohiuddin,NASA-IMPACT/veda-deploy,43,1700178391,1765556812,0,False,sponsored
Alexandra Kirk,NASA-IMPACT/veda-deploy,54,1702494856,1754673670,0,False,sponsored
Ciaran Sweet,NASA-IMPACT/veda-backend,5,1722521511,1723132154,0,False,sponsored
Isayah Vidito,NASA-IMPACT/veda-backend,74,1667324462,1767891745,0,False,sponsored
Jennifer Tran,NASA-IMPACT/veda-backend,158,1705627385,1769192137,0,False,sponsored
Jamison French,NASA-IMPACT/veda-backend,1,1692912400,1692912400,0,False,sponsored
Pete Gadomski,NASA-IMPACT/veda-backend,1,1696947223,1696947223,0,False,sponsored
Anthony Lukach,NASA-IMPACT/veda-backend,75,1654214919,1761073955,0,False,sponsored
Sandra Hoang,NASA-IMPACT/veda-backend,7,1722268308,1723651369,0,False,sponsored
Leo Thomas,NASA-IMPACT/veda-backend,45,1638830428,1647845092,0,False,sponsored
Aimee Barciauskas,NASA-IMPACT/veda-backend,20,1654636843,1744765182,0,False,sponsored
Saadiq Mohiuddin,NASA-IMPACT/veda-backend,126,1673752390,1760124872,0,False,sponsored
Vincent Sarago,NASA-IMPACT/veda-backend,21,1678443191,1736182862,0,False,sponsored
Alexandra Kirk,NASA-IMPACT/veda-backend,505,1640125392,1758649397,0,False,sponsored
Chris Holden,NASA-IMPACT/csda-client,2,1735940802,1767977889,0,False,sponsored
Pete Gadomski,NASA-IMPACT/csda-client,12,1748012046,1769113486,0,False,sponsored
Emma Paz,NASA-IMPACT/csda-client,1,1755729576,1755729576,0,False,sponsored
Anthony Lukach,NASA-IMPACT/csda-client,28,1595868006,1646770752,0,False,sponsored
Isayah Vidito,NASA-IMPACT/veda-data-airflow,121,1677267607,1768420576,0,False,sponsored
Jennifer Tran,NASA-IMPACT/veda-data-airflow,105,1711566495,1768243389,0,False,sponsored
Jamison French,NASA-IMPACT/veda-data-airflow,3,1697570219,1721158915,0,False,sponsored
Pete Gadomski,NASA-IMPACT/veda-data-airflow,1,1696881846,1696881846,0,False,sponsored
Sandra Hoang,NASA-IMPACT/veda-data-airflow,8,1750882224,1761764530,0,False,sponsored
Saadiq Mohiuddin,NASA-IMPACT/veda-data-airflow,144,1678389224,1763652245,0,False,sponsored
Ali Z,NASA-IMPACT/veda-data-airflow,7,1754682851,1756841837,0,False,sponsored
Alexandra Kirk,NASA-IMPACT/veda-data-airflow,67,1710956091,1764097285,0,False,sponsored
Emmanuel Mathot,eopf-toolkit/eopf-101,7,1747939515,1752478873,0,False,sponsored
Ciaran Sweet,eopf-toolkit/eopf-101,31,1748965625,1769707121,0,False,sponsored
xıʃǝɟ,eopf-toolkit/eopf-101,16,1747127956,1764711542,0,False,sponsored
Soumya Ranjan Mohanty,Clay-foundation/model,11,1702613646,1733766251,360,False,sponsored
Aimee Barciauskas,Clay-foundation/model,1,1748248632,1748248632,0,False,sponsored
Lilly Thomas,Clay-foundation/model,8,1700007319,1721861671,252,False,sponsored
Daniel Wiesmann,Clay-foundation/model,36,1700149587,1733494971,385,False,sponsored
Chuck Daniels,Clay-foundation/model,1,1708722873,1708722873,0,False,sponsored
Wei Ji,Clay-foundation/model,36,1699480841,1729621478,348,False,sponsored
Emmanuel Mathot,sentinel-hub/titiler-openeo,242,1730291637,1769719412,0,False,sponsored
xıʃǝɟ,sentinel-hub/titiler-openeo,12,1738846309,1769705261,0,False,sponsored
Zac Deziel,sentinel-hub/titiler-openeo,8,1764028126,1765351521,0,False,sponsored
Vincent Sarago,sentinel-hub/titiler-openeo,96,1733137677,1765211404,0,False,sponsored
