repo,repo_stars,repo_forks,repo_createdAt,repo_updatedAt,repo_total_commits,repo_url,repo_description,repo_languages,repo_watchers,repo_open_issues,repo_license,repo_topics,repo_has_discussions,repo_has_wiki,repo_default_branch,repo_archived,repo_total_contributors,repo_devseed_contributors,repo_external_contributors,repo_community_ratio
NASA-IMPACT/veda-odd,3,0,2024-10-15T20:26:16Z,2026-02-16T20:54:04Z,36,https://github.com/NASA-IMPACT/veda-odd,,Python,16,40,NOASSERTION,,False,True,main,False,2,2,0,0.0
NASA-IMPACT/veda-keycloak,7,3,2024-10-16T16:51:26Z,2026-02-17T22:25:15Z,179,https://github.com/NASA-IMPACT/veda-keycloak,,"Python,Java,Dockerfile,Shell,CSS",17,58,,"auth,keycloak",False,False,main,False,12,8,4,0.333
NASA-IMPACT/csda-client,7,2,2020-05-11T18:27:35Z,2026-02-11T17:48:19Z,127,https://github.com/NASA-IMPACT/csda-client,A Python API client for CSDA,Python,12,3,MIT,,False,False,main,False,11,4,7,0.636
ecmwf/qubed,10,1,2024-10-08T10:48:05Z,2026-02-05T22:35:29Z,364,https://github.com/ecmwf/qubed,A data structure for efficiently representing and querying complex-tree datacubes.,"Python,Rust,JavaScript,CSS,HTML,Shell",11,15,Apache-2.0,,False,False,main,False,6,1,5,0.833
ecmwf/polytope-client,0,0,2021-10-01T09:10:25Z,2025-10-22T17:14:37Z,72,https://github.com/ecmwf/polytope-client,,Python,13,1,Apache-2.0,polytope,False,True,main,False,3,0,3,1.0
osm-seed/osm-seed,172,39,2018-05-04T10:49:36Z,2026-02-16T23:05:03Z,987,https://github.com/osm-seed/osm-seed,A collection of Dockerfiles to run a containerized version of OpenStreetMap,"Shell,PLpgSQL,Dockerfile,Python,HTML,JavaScript,Mustache",30,25,MIT,"docker,nominatim,openstreetmap,overpass,tasking-manager",False,True,develop,False,9,3,6,0.667
EOEPCA/demo,1,5,2021-03-31T08:31:35Z,2026-01-28T12:31:02Z,413,https://github.com/EOEPCA/demo,Demonstration of Common Architecture building blocks,"Jupyter Notebook,Python,Common Workflow Language,Shell,Dockerfile",27,0,Apache-2.0,,False,True,main,False,19,2,17,0.895
EOEPCA/data-access,1,0,2024-06-13T13:37:29Z,2025-08-04T08:22:46Z,38,https://github.com/EOEPCA/data-access,EOEPCA+ Data Access BB,,6,22,Apache-2.0,,True,False,main,False,5,2,3,0.6
EOEPCA/resource-discovery,0,0,2024-06-18T08:49:02Z,2026-01-14T14:45:11Z,57,https://github.com/EOEPCA/resource-discovery,Resource Discovery,Dockerfile,5,62,Apache-2.0,,True,True,main,False,4,1,3,0.75
EOEPCA/eoepca-plus,6,8,2024-05-17T09:07:28Z,2026-02-18T09:13:41Z,1750,https://github.com/EOEPCA/eoepca-plus,EOEPCA+ deployments for development team,"Python,Shell",25,2,Apache-2.0,,False,True,deploy-develop,False,33,4,29,0.879
