author_name,repo,commit_count,commit_sec_min,commit_sec_max,contribution_span_days,is_recent_contributor
Jonas,developmentseed/eoapi-k8s,7,1728314655,1736527513,95,False
Sanjay Bhangar,developmentseed/eoapi-k8s,1,1745921051,1745921051,0,False
Isayah Vidito,developmentseed/eoapi-k8s,14,1718821284,1743535953,286,False
Vincent Sarago,developmentseed/eoapi-k8s,3,1705582688,1728309029,263,False
Ciaran Sweet,developmentseed/eoapi-k8s,12,1727267183,1759747660,375,False
Kyle Barron,developmentseed/deck.gl-raster,104,1764879824,1771373780,75,True
Pete Gadomski,developmentseed/deck.gl-raster,7,1769183270,1769456613,3,True
Daniel Wiesmann,developmentseed/morecantile,1,1683559414,1683559414,0,False
Kyle Barron,developmentseed/morecantile,3,1607485123,1770230893,1883,True
Jeff Albrecht,developmentseed/morecantile,7,1589066053,1589775178,0,False
Henry Rodman,developmentseed/morecantile,1,1758815692,1758815692,0,False
Vincent Sarago,developmentseed/morecantile,448,1579813979,1770246102,2204,True
Wille Marcel,developmentseed/obstore,1,1730470183,1730470183,0,False
Kyle Barron,developmentseed/obstore,309,1729194394,1770663091,479,True
Anthony Lukach,developmentseed/obstore,2,1768256451,1768330911,0,True
Wei Ji,developmentseed/obstore,1,1740156308,1740156308,0,False
Chuck Daniels,developmentseed/obstore,3,1747500858,1755878660,96,False
Pete Gadomski,developmentseed/obstore,1,1746018926,1746018926,0,False
Vincent Sarago,developmentseed/obstore,1,1738082190,1738082190,0,False
Martha Morrissey,developmentseed/pixelverse,38,1760647546,1764099521,39,True
Wei Ji,developmentseed/pixelverse,5,1768166650,1769650456,17,True
Wille Marcel,developmentseed/eoAPI,1,1726488679,1726488679,0,False
David Bitner,developmentseed/eoAPI,3,1630003041,1678908603,566,False
Lane Goodman,developmentseed/eoAPI,11,1696340627,1696622162,3,False
xıʃǝɟ,developmentseed/eoAPI,1,1762770325,1762770325,0,False
Sean Harkins,developmentseed/eoAPI,4,1643854281,1654707700,125,False
Henry Rodman,developmentseed/eoAPI,5,1684244308,1744897271,702,False
Zac Deziel,developmentseed/eoAPI,32,1686696101,1703179085,190,False
Leo Thomas,developmentseed/eoAPI,1,1641999247,1641999247,0,False
Anthony Lukach,developmentseed/eoAPI,3,1710532434,1746205978,412,False
Jonas,developmentseed/eoAPI,5,1696884505,1697216364,3,False
Vincent Sarago,developmentseed/eoAPI,234,1629904250,1740153817,1276,False
Aimee Barciauskas,developmentseed/eoAPI,3,1695928705,1695952787,0,False
Sean Harkins,developmentseed/eoapi-cdk,10,1677773846,1689201507,132,False
Alex I. Mandel,developmentseed/eoapi-cdk,1,1684532345,1684532345,0,False
Henry Rodman,developmentseed/eoapi-cdk,47,1724117471,1770659717,538,True
Anthony Lukach,developmentseed/eoapi-cdk,50,1664917900,1755879689,1052,False
Jamison French,developmentseed/eoapi-cdk,3,1678411676,1770735801,1068,True
Isayah Vidito,developmentseed/eoapi-cdk,1,1694180964,1694180964,0,False
Pete Gadomski,developmentseed/eoapi-cdk,7,1753793391,1764606236,125,True
Vincent Sarago,developmentseed/eoapi-cdk,7,1691130948,1738688012,550,False
Aimee Barciauskas,developmentseed/eoapi-cdk,1,1686584297,1686584297,0,False
David Bitner,developmentseed/tipg,94,1651079287,1702393462,593,False
xıʃǝɟ,developmentseed/tipg,1,1762778608,1762778608,0,False
Henry Rodman,developmentseed/tipg,4,1700621160,1704974391,50,False
Zac Deziel,developmentseed/tipg,2,1694197989,1694198593,0,False
Vincent Sarago,developmentseed/tipg,568,1651066571,1765275424,1321,True
Ciaran Sweet,developmentseed/tipg,1,1759493236,1759493236,0,False
Max Jones,developmentseed/async-tiff,2,1741974835,1761231624,222,False
Kyle Barron,developmentseed/async-tiff,135,1723748465,1770326134,539,True
Anthony Lukach,developmentseed/async-tiff,1,1763784984,1763784984,0,True
Wei Ji,developmentseed/async-tiff,10,1746562103,1769465046,265,True
Daniel Wiesmann,developmentseed/geojson-pydantic,2,1646256005,1657902792,134,False
Jeff Albrecht,developmentseed/geojson-pydantic,3,1628915326,1645383397,0,False
Vincent Sarago,developmentseed/geojson-pydantic,204,1603813451,1759930181,1806,False
Vincent Sarago,developmentseed/rio-viz,129,1562339460,1742485839,2085,False
xıʃǝɟ,beatrizbsperes/eopf-101,16,1747127956,1764711542,203,True
Emmanuel Mathot,beatrizbsperes/eopf-101,7,1747939515,1752478873,52,False
Beatriz Peres,beatrizbsperes/eopf-101,2,1767866955,1770630826,31,True
Ciaran Sweet,beatrizbsperes/eopf-101,43,1748965625,1770906733,253,True
Matthias Mohr,opengeospatial/geoparquet,10,1670261363,1724597606,0,False
Chris Holmes,opengeospatial/geoparquet,38,1627926627,1752522610,0,False
Kyle Barron,opengeospatial/geoparquet,13,1650344789,1717227830,774,False
Max Jones,virtual-zarr/obspec-utils,53,1750448940,1769645978,0,False
Anthony Lukach,source-cooperative/source.coop,297,1743794422,1770944228,314,True
Wille Marcel,OSMCha/osmcha-frontend,428,1497643026,1747673939,2893,False
Sajjad Anwar,OSMCha/osmcha-frontend,5,1497883326,1507197415,107,False
Tarashish Mishra,OSMCha/osmcha-frontend,2,1699508578,1707718447,95,False
Wille Marcel,OSMCha/osmcha-django,797,1438651962,1724854672,3312,False
Sajjad Anwar,OSMCha/osmcha-django,38,1476696685,1485175770,98,False
Tarashish Mishra,OSMCha/osmcha-django,5,1697547266,1700822167,37,False
Kyle Barron,geoarrow/geoarrow,12,1695684680,1748010349,605,False
Kyle Barron,geoarrow/geoarrow-rs,844,1688163503,1767585447,919,True
Wei Ji,geoarrow/geoarrow-rs,1,1707150354,1707150354,0,False
